sheet	path	field	type	availability	description	producer_or_source
Gene fields	gene.var	gene_start	integer/float nullable	After GTF annotation	Gene start coordinate from the configured GTF.	create_mdata.py
Gene fields	gene.var	gene_end	integer/float nullable	After GTF annotation	Gene end coordinate from the configured GTF.	create_mdata.py
Guide fields	guide.var_names	guide_id	string index	Always	Canonical unique guide identifier; also retained as guide.var['guide_id'].	create_mdata.py
Guide fields	guide.var	guide_id	string	Always	Canonical guide identifier used to join metadata, assignments, and per-guide results.	Guide metadata/create_mdata.py
Guide fields	guide.var	spacer	DNA string	Always	Captured guide spacer sequence used to construct and validate the guide reference.	Guide metadata
Guide fields	guide.var	targeting	boolean	Always	True for targeting guides and false for non-targeting/control guides.	Guide metadata/create_mdata.py
Guide fields	guide.var	type	categorical	Always	Guide class such as targeting, non-targeting, safe-targeting, or negative control; filled from targeting when missing.	Guide metadata/create_mdata.py
Guide fields	guide.var	guide_chr	string/categorical	Targeting guides when known	Chromosome of the guide/protospacer genomic mapping.	Guide metadata
Guide fields	guide.var	guide_start	integer/float nullable	Targeting guides when known	Guide/protospacer genomic start coordinate.	Guide metadata
Guide fields	guide.var	guide_end	integer/float nullable	Targeting guides when known	Guide/protospacer genomic end coordinate.	Guide metadata
Guide fields	guide.var	strand	string/categorical	When supplied	Guide/protospacer strand.	Guide metadata
Guide fields	guide.var	pam	string/categorical	When supplied	Protospacer-adjacent motif associated with the guide.	Guide metadata
Guide fields	guide.var	genomic_element	string/categorical	When supplied	Source label for the targeted genomic element.	Guide metadata
Guide fields	guide.var	intended_target_name	string/categorical	Always after validation	Canonical element or target-gene group used to aggregate guides and construct inference pairs.	Guide metadata/intended_target_key_utils.py
Guide fields	guide.var	intended_target_chr	string/categorical	Targeting elements when known	Chromosome of the intended target element.	Guide metadata
Guide fields	guide.var	intended_target_start	nullable integer	Targeting elements when known	Start coordinate of the intended target element.	Guide metadata
Guide fields	guide.var	intended_target_end	nullable integer	Targeting elements when known	End coordinate of the intended target element.	Guide metadata
Guide fields	guide.var	intended_target_key	string/categorical	Always after canonicalization	Collision-safe element grouping key; controls are bucketed as non-targeting|N and targeting guides use canonical target identity.	intended_target_key_utils.py
Guide fields	guide.var	putative_target_genes	string/categorical	When supplied	Source-provided candidate gene or genes for the targeted element.	Guide metadata passthrough
Guide fields	guide.var	reporter	boolean/numeric nullable	When supplied	Source annotation indicating reporter-associated guides/elements.	Guide metadata passthrough
Guide fields	guide.var	imperfect	boolean/numeric nullable	When supplied	Source annotation flagging imperfect guide matches/designs.	Guide metadata passthrough
Guide fields	guide.var	gene_name	string	When supplied	Source gene symbol annotation associated with the guide or target.	Guide metadata passthrough
Guide fields	guide.var	label	string	When supplied	Source display or group label.	Guide metadata passthrough
Guide fields	guide.var	description	string/categorical	When supplied	Free-text source description of the guide or element.	Guide metadata passthrough
Guide fields	guide.var	guide_class	string/categorical	When supplied	Source-specific guide classification.	Guide metadata passthrough
Guide fields	guide.var	source_group_id	string/categorical	When supplied	Original group/element identifier retained for provenance.	Guide metadata passthrough
Guide fields	guide.var	element_chr	string/categorical	When supplied	Canonical or repaired element chromosome retained separately from intended_target_chr.	Guide metadata passthrough
Guide fields	guide.var	element_start	nullable integer/string	When supplied	Canonical or repaired element start coordinate.	Guide metadata passthrough
Guide fields	guide.var	element_end	nullable integer/string	When supplied	Canonical or repaired element end coordinate.	Guide metadata passthrough
Guide fields	guide.var	general_group	string/categorical	When supplied	Source-defined broader guide/element grouping.	Guide metadata passthrough
Guide fields	guide.var	mapping_status	string/categorical	When supplied	Outcome of guide-to-genome mapping, such as unique, multi-hit, or unmapped.	Metadata preparation
Guide fields	guide.var	mapping_hit_count	integer	When supplied	Number of genomic mappings found for the spacer.	Metadata preparation
Guide fields	guide.var	mapping_scope	string/categorical	When supplied	Reference/search scope used for guide mapping.	Metadata preparation
Guide fields	guide.var	pam_model	string/categorical	When supplied	PAM rule/model used during sequence validation or mapping.	Metadata preparation
Guide fields	guide.var	spacer_encoding	string/categorical	When supplied	Description of how the stored spacer sequence was transformed or encoded.	Metadata preparation
Guide fields	guide.var	genomic_protospacer	DNA string	When supplied	Reference-matched genomic protospacer sequence.	Metadata preparation
Guide fields	guide.var	biological_spacer	DNA string	When supplied	Original biological spacer before capture-specific transformation.	Metadata preparation
Guide fields	guide.var	intended_target_gene_id	string/categorical	When supplied	Canonical gene identifier linked to the intended target.	Metadata preparation
Guide fields	guide.var	gene_annotation_chr	string/categorical	When supplied	Chromosome of the target-gene annotation used during metadata repair.	Metadata preparation
Guide fields	guide.var	gene_annotation_start	nullable numeric	When supplied	Start of the target-gene annotation used during metadata repair.	Metadata preparation
Guide fields	guide.var	gene_annotation_end	nullable numeric	When supplied	End of the target-gene annotation used during metadata repair.	Metadata preparation
Guide fields	guide.var	gene_annotation_status	string/categorical	When supplied	Status of matching the intended target to the gene annotation.	Metadata preparation
Guide fields	guide.var	coordinate_system	string/categorical	When supplied	Coordinate convention, for example zero-based half-open or one-based inclusive.	Metadata preparation
Guide fields	guide.var	reference_build	string/categorical	When supplied	Genome build used by the canonical coordinates.	Metadata preparation
Guide fields	guide.var	reference_release	string/categorical	When supplied	Genome/GTF reference release used during annotation.	Metadata preparation
Guide fields	guide.var	source	string/categorical	When supplied	Source dataset or metadata table identifier.	Guide metadata passthrough
Guide fields	guide.var	source_reference_build	string/categorical	When supplied	Genome build of the original source coordinates.	Metadata preparation
Guide fields	guide.var	source_mapping_status	string/categorical	When supplied	Original mapping status before canonical repair.	Metadata preparation
Guide fields	guide.var	source_guide_chr	string/categorical	When supplied	Original guide chromosome retained before coordinate conversion.	Metadata preparation
Guide fields	guide.var	source_guide_start	nullable numeric	When supplied	Original guide start coordinate retained before conversion.	Metadata preparation
Guide fields	guide.var	source_guide_end	nullable numeric	When supplied	Original guide end coordinate retained before conversion.	Metadata preparation
Guide fields	guide.var	source_guide_strand	string/categorical	When supplied	Original guide strand retained before conversion.	Metadata preparation
Guide fields	guide.var	guide_liftover_status	string/categorical	When supplied	Status of guide-coordinate liftover between genome builds.	Metadata preparation
Guide fields	guide.var	element_liftover_status	string/categorical	When supplied	Status of element-coordinate liftover.	Metadata preparation
Guide fields	guide.var	intended_target_liftover_status	string/categorical	When supplied	Status of intended-target-coordinate liftover.	Metadata preparation
Guide fields	guide.var	gene_annotation_liftover_status	string/categorical	When supplied	Status of gene-annotation coordinate liftover.	Metadata preparation
Guide fields	guide.var	sequence_validation_hg38	string/categorical	When supplied	Result of validating the spacer/protospacer against hg38.	Metadata preparation
Guide fields	guide.var	coordinate_transfer_method	string/categorical	When supplied	Method used to transfer coordinates between builds.	Metadata preparation
Guide fields	guide.var	target_coordinate_repair_method	string/categorical	When supplied	Method used to repair or infer intended-target coordinates.	Metadata preparation
Guide fields	guide.var	source_guide_id	string	When supplied	Original guide identifier retained after alias consolidation.	Metadata preparation
Guide fields	guide.var	library_id	string	When supplied	Source guide-library identifier.	Guide metadata passthrough
Guide fields	guide.var	source_element_hg19	string	When supplied	Original hg19 element label.	Metadata preparation
Guide fields	guide.var	element_hg19_chr	string	When supplied	Original hg19 element chromosome.	Metadata preparation
Guide fields	guide.var	element_hg19_start	integer	When supplied	Original hg19 element start.	Metadata preparation
Guide fields	guide.var	element_hg19_end	integer	When supplied	Original hg19 element end.	Metadata preparation
Guide fields	guide.var	element_hg38_chr	string	When supplied	Lifted/canonical hg38 element chromosome.	Metadata preparation
Guide fields	guide.var	element_hg38_start	integer	When supplied	Lifted/canonical hg38 element start.	Metadata preparation
Guide fields	guide.var	element_hg38_end	integer	When supplied	Lifted/canonical hg38 element end.	Metadata preparation
Guide fields	guide.var	alias_guide_ids	string	When supplied	Delimited guide aliases collapsed into the canonical guide.	Metadata preparation
Guide fields	guide.var	alias_source_guide_ids	string	When supplied	Delimited original-source guide identifiers represented by the canonical guide.	Metadata preparation
Guide fields	guide.var	capture_length	integer	When supplied	Length of the capture sequence used for guide mapping.	Metadata preparation
Guide fields	guide.var	capture_rule	string	When supplied	Rule used to derive the captured sequence from the biological spacer.	Metadata preparation
Guide fields	guide.var	vector_primer_motif	DNA string	When supplied	Vector/primer motif used to identify or transform the captured guide sequence.	Metadata preparation
Hashing fields	hashing.var_names	hash_id	string index	Hashing only	Canonical hashtag/HTO feature identifier from the mapping reference.	Hash metadata/mapping
Hashing fields	hashing.var	sequence	DNA string	Hashing when retained by mapping	Hashtag oligo sequence supplied in hash metadata.	Hash metadata
Hashing fields	hashing.var	Additional columns	input dependent	Optional; input dependent	Hashing metadata columns carried by the mapped AnnData; the pipeline does not impose a richer normalized hashing-var schema.	Hash mapping passthrough
Unstructured	guide.uns	capture_method	one-element string array	Always	Guide capture design, for example crop-seq or direct-capture.	create_mdata.py
Unstructured	guide.uns	moi	one-element string array	Always	Recorded or inferred multiplicity-of-infection class: high or low.	create_mdata.py
Unstructured	MuData.uns	pairs_to_test	DataFrame	Inference preparation only	Requested guide-gene pairs with guide_id and gene_id; used by SCEPTRE and native PerTurbo local/cis inference.	prepare_inference.py
Unstructured	MuData.uns	local_analysis_per_guide_results	DataFrame	Current final default inference	Merged local/cis guide-gene results and annotations.	merge_local_global_results.py
Unstructured	MuData.uns	local_analysis_per_element_results	DataFrame	Current final default inference	Merged local/cis target-element-gene results aggregated across guides.	merge_local_global_results.py
Unstructured	MuData.uns	global_analysis_per_guide_results	DataFrame	Current final default inference	Global/trans all-by-all PerTurbo guide-gene results and annotations.	merge_local_global_results.py
Unstructured	MuData.uns	global_analysis_per_element_results	DataFrame	Current final default inference	Global/trans all-by-all PerTurbo element-gene results aggregated across guides.	merge_local_global_results.py
Unstructured	MuData.uns	cis_per_guide_results	DataFrame	Legacy output alias	Older name for local per-guide results; read for backward compatibility.	legacy pipeline
Unstructured	MuData.uns	cis_per_element_results	DataFrame	Legacy output alias	Older name for local per-element results; read for backward compatibility.	legacy pipeline
Unstructured	MuData.uns	trans_per_guide_results	DataFrame	Legacy output alias	Older name for global per-guide results; read for backward compatibility.	legacy pipeline
Unstructured	MuData.uns	trans_per_element_results	DataFrame	Legacy output alias	Older name for global per-element results; read for backward compatibility.	legacy pipeline
Result columns	per-guide results	gene_id	string	All per-guide tables	Canonical tested-gene identifier.	analysis_output_formatting.py
Result columns	per-guide results	guide_id	string	All per-guide tables	Canonical tested-guide identifier.	analysis_output_formatting.py
Result columns	per-element results	intended_target_name	string	All per-element tables	Canonical element/group identifier used to aggregate guides.	analysis_output_formatting.py
Result columns	per-element results	intended_target_chr	string nullable	All per-element tables	Chromosome of the intended target element.	analysis_output_formatting.py
Result columns	per-element results	intended_target_start	integer nullable	All per-element tables	Start coordinate of the intended target element.	analysis_output_formatting.py
Result columns	per-element results	intended_target_end	integer nullable	All per-element tables	End coordinate of the intended target element.	analysis_output_formatting.py
Result columns	result metrics	sceptre_log2_fc	float	Local results when SCEPTRE ran	SCEPTRE estimated log2 fold change for the perturbation test.	SCEPTRE formatter
Result columns	result metrics	sceptre_p_value	float	Local results when SCEPTRE ran	Raw SCEPTRE p-value.	SCEPTRE formatter
Result columns	result metrics	sceptre_q_value	float	Local results when SCEPTRE ran	Benjamini-Hochberg-adjusted SCEPTRE p-value within the exported test family.	merge_local_global_results.py
Result columns	result metrics	sceptre_fc_se	float	Local results when available	Standard error of the SCEPTRE fold-change estimate.	SCEPTRE formatter
Result columns	result metrics	sceptre_negLog10p	float	Local results when SCEPTRE ran	Negative base-10 logarithm of the SCEPTRE p-value with numerical clipping.	merge_local_global_results.py
Result columns	result metrics	perturbo_log2_fc	float	When PerTurbo ran	PerTurbo estimated log2 fold change.	PerTurbo adapter
Result columns	result metrics	perturbo_p_value	float	When PerTurbo ran	Native/empirical PerTurbo p-value exposed by the pipeline adapter.	PerTurbo adapter
Result columns	result metrics	perturbo_q_value	float	When PerTurbo ran	PerTurbo q-value; current native output is used when provided.	PerTurbo adapter/merger
Result columns	result metrics	perturbo_fc_se	float	When PerTurbo ran	Standard error of the PerTurbo fold-change estimate.	PerTurbo adapter
Result columns	result metrics	perturbo_negLog10p	float	When PerTurbo ran	Negative base-10 logarithm of perturbo_p_value with numerical clipping.	merge_local_global_results.py
Result columns	legacy result metrics	sceptre_log10_p_value	float	Legacy tables only	Older signed/legacy log10 p-value field; superseded by sceptre_negLog10p.	legacy pipeline
Result columns	legacy result metrics	perturbo_log10_p_value	float	Legacy tables only	Older signed/legacy log10 p-value field; superseded by perturbo_negLog10p.	legacy pipeline
Result columns	per-guide annotations	guide_sequence	DNA string	Current annotated tables	Guide spacer/capture sequence copied from guide.var['spacer'].	analysis_output_formatting.py
Result columns	per-guide annotations	guide_type	string	Current annotated tables	Guide type copied from guide.var['type'].	analysis_output_formatting.py
Result columns	per-guide annotations	targeting	boolean	Current annotated tables	Whether the guide is targeting rather than a control.	analysis_output_formatting.py
Result columns	per-guide annotations	guide_chr	string nullable	Current annotated tables	Guide genomic chromosome.	analysis_output_formatting.py
Result columns	per-guide annotations	guide_start	integer nullable	Current annotated tables	Guide genomic start coordinate.	analysis_output_formatting.py
Result columns	per-guide annotations	guide_end	integer nullable	Current annotated tables	Guide genomic end coordinate.	analysis_output_formatting.py
Result columns	per-guide annotations	guide_strand	string nullable	Current annotated tables	Guide strand copied from guide.var['strand'].	analysis_output_formatting.py
Result columns	per-guide annotations	pam	string nullable	Current annotated tables	Guide PAM annotation.	analysis_output_formatting.py
Result columns	per-guide annotations	intended_target_name	string	Current annotated tables	Canonical target element/gene group for the guide.	analysis_output_formatting.py
Result columns	per-guide annotations	intended_target_chr	string nullable	Current annotated tables	Intended-target chromosome.	analysis_output_formatting.py
Result columns	per-guide annotations	intended_target_start	integer nullable	Current annotated tables	Intended-target start coordinate.	analysis_output_formatting.py
Result columns	per-guide annotations	intended_target_end	integer nullable	Current annotated tables	Intended-target end coordinate.	analysis_output_formatting.py
Result columns	shared annotations	gene_name	string nullable	Current annotated tables	Human-readable tested-gene symbol.	analysis_output_formatting.py
Result columns	shared annotations	nPerturbedCells	integer nullable	Current annotated tables	Number of cells assigned to the tested guide or element under guide_assignment.	analysis_output_formatting.py
Result columns	per-element annotations	element_id	string	Current annotated element tables	Catalog-facing canonical element identifier.	build_catalog_per_element_output.py
Result columns	per-element annotations	element_type	string	Current annotated element tables	Catalog-facing element class.	build_catalog_per_element_output.py
Result columns	per-element annotations	element_chr	string nullable	Current annotated element tables	Catalog-facing element chromosome.	build_catalog_per_element_output.py
Result columns	per-element annotations	element_start	integer nullable	Current annotated element tables	Catalog-facing element start coordinate.	build_catalog_per_element_output.py
Result columns	per-element annotations	element_end	integer nullable	Current annotated element tables	Catalog-facing element end coordinate.	build_catalog_per_element_output.py
Result columns	per-element annotations	element_name	string	Current annotated element tables	Human-readable/catalog element name.	build_catalog_per_element_output.py
Result columns	per-element annotations	guide_ids	delimited string	Current annotated element tables	Guide identifiers aggregated into the element.	analysis_output_formatting.py
Result columns	per-element annotations	num_guides	integer	Current annotated element tables	Number of guides represented by the element.	analysis_output_formatting.py
